Date,Ship,Line,Arrival,Departure,Terminal
10/27/23,Mein Schiff 6,TUI Cruises,---,10:00 PM,CLCP
10/28/23,Artania,Phoenix Reisen Cruises,---,7:00 PM,MCT
10/28/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
10/28/23,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT
10/28/23,Liberty of the Seas,Royal Caribbean,7:00 AM,N/A,CLCP
10/29/23,Crystal Serenity,Crystal Cruises,7:00 AM,10:00 PM,BCT
10/29/23,Explora I,Explora Journeys,7:00 AM,---,MCT
10/29/23,Norwegian Escape,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
10/29/23,Oasis of the Seas,Royal Caribbean,6:00 AM,N/A,CLCP
10/29/23,MS Europa 2,Hapag-Lloyd Cruises,8:00 AM,---,MCT
10/30/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
10/30/23,Explora I,Explora Journeys,---,7:00 PM,MCT
10/30/23,MS Europa 2,Hapag-Lloyd Cruises,---,10:00 AM,MCT
10/31/23,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT
10/31/23,Seven Seas Mariner,Regent Seven Seas,6:00 AM,6:00 PM,MCT
11/2/23,Seabourn Quest,Seabourn Cruise Line,8:00 AM,---,MCT
11/3/23,Seabourn Quest,Seabourn Cruise Line,---,12:00 PM,MCT
11/4/23,Disney Dream,Disney Cruise Line,7:30 AM,4:00 PM,MCT
11/4/23,Emerald Princess,Princess Cruises,6:00 AM,5:00 PM,BCT
11/4/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
11/5/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
11/5/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
11/5/23,Norwegian Escape,Norwegian Cruise Line,7:00 AM,8:00 PM,MCT
11/9/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
11/9/23,Jewel of the Seas,Royal Caribbean,8:00 AM,5:00 PM,CLCP
11/10/23,Norwegian Escape,Norwegian Cruise Line,7:00 AM,8:00 PM,MCT
11/11/23,Insignia,Oceania Cruises,1:00 PM,---,MCT
11/12/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
11/12/23,Insignia,Oceania Cruises,---,6:00 PM,MCT
11/13/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
