time_stamp,humidity,temperature,pressure,pm2.5_alt,pm1.0_atm,pm10.0_atm,local_datetime,Date
2023-09-22T19:00:00Z,40.6,76.1,999.448,3.2,2.9455,5.16,2023-09-22T15:00:00Z,2023-09-22
2023-09-22T08:00:00Z,63.434,54.167,999.323,2.7,2.483,4.352,2023-09-22T04:00:00Z,2023-09-22
2023-09-22T10:00:00Z,64,53,999.828,2.6,2.512,4.266,2023-09-22T06:00:00Z,2023-09-22
2023-09-22T16:00:00Z,40.2,79.933,1000.551,2.9,2.7105,4.5305,2023-09-22T12:00:00Z,2023-09-22
2023-09-22T21:00:00Z,46.3,73.233,999.084,4,4.0415,6.7835,2023-09-22T17:00:00Z,2023-09-22
2023-09-22T14:00:00Z,61.2,71.2,1000.944,3.4,3.235,5.47,2023-09-22T10:00:00Z,2023-09-22
2023-09-22T12:00:00Z,67.7,56.133,1000.602,3,2.827,4.9335,2023-09-22T08:00:00Z,2023-09-22
2023-09-22T13:00:00Z,70.3,62.167,1001.19,3.6,3.547,5.9515,2023-09-22T09:00:00Z,2023-09-22
2023-09-22T17:00:00Z,38.567,80.434,1000.228,3.1,2.7305,4.7705,2023-09-22T13:00:00Z,2023-09-22
2023-09-22T01:00:00Z,61.534,60.666,998.29,2.9,2.766,4.7885,2023-09-21T21:00:00Z,2023-09-21
2023-09-22T07:00:00Z,63.6,54.8,999.131,2.7,2.538,4.3805,2023-09-22T03:00:00Z,2023-09-22
2023-09-22T06:00:00Z,63.434,55.4,999.169,2.7,2.587,4.5275,2023-09-22T02:00:00Z,2023-09-22
2023-09-22T05:00:00Z,63,56.267,999.071,2.9,2.696,4.7535,2023-09-22T01:00:00Z,2023-09-22
2023-09-19T10:00:00Z,67.067,63,984.889,7.4,7.4325,12.9105,2023-09-19T06:00:00Z,2023-09-19
2023-09-19T03:00:00Z,69.933,65.633,982.379,4.2,4.463,7.0105,2023-09-18T23:00:00Z,2023-09-18
2023-09-19T02:00:00Z,70.934,65.667,982.008,2.5,2.203,3.651,2023-09-18T22:00:00Z,2023-09-18
2023-09-19T23:00:00Z,51.166,69.1,988.792,3.4,3.291,5.484,2023-09-19T19:00:00Z,2023-09-19
2023-09-19T21:00:00Z,41.534,74.334,987.926,3.2,3.0465,5.1045,2023-09-19T17:00:00Z,2023-09-19
2023-09-19T22:00:00Z,43.534,72.667,988.324,3,2.965,4.898,2023-09-19T18:00:00Z,2023-09-19
2023-09-19T00:00:00Z,70.667,66.767,981.076,1.8,1.352,2.3345,2023-09-18T20:00:00Z,2023-09-18
2023-09-19T18:00:00Z,37.466,78.466,987.04,3.3,3.2645,5.4705,2023-09-19T14:00:00Z,2023-09-19
2023-09-19T14:00:00Z,52,73.167,986.779,4.2,3.9345,6.866,2023-09-19T10:00:00Z,2023-09-19
2023-09-19T15:00:00Z,40.034,81.3,986.811,4,3.8445,6.532,2023-09-19T11:00:00Z,2023-09-19
2023-09-19T01:00:00Z,70.434,66,981.754,2.1,1.683,2.9565,2023-09-18T21:00:00Z,2023-09-18
